id,Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear_No,Stage_fear_Yes,Drained_after_socializing_No,Drained_after_socializing_Yes,Personality
60,2.4204090785890138,-0.647481766992276,-2.358358866271239,-1.5965942694680593,-2.0300423525982834,0.0,1.0,0.0,1.0,1
61,-1.0010043650490912,1.2778061930510032,-0.7665916108103452,-1.1055680391146014,-0.18482918436534815,1.0,0.0,1.0,0.0,0
66,0.8997808814165227,0.8927486010423473,-0.23600252565671395,-0.1235155784076859,1.6603839838675871,1.0,0.0,1.0,0.0,0
70,0.13946678283027714,-0.647481766992276,-0.7665916108103452,-0.6145418087611437,1.6603839838675871,1.0,0.0,1.0,0.0,0
72,-0.24069026646284564,0.8927486010423473,0.8251756446505486,0.36751065194577187,0.9222987165744131,1.0,0.0,1.0,0.0,0
73,-0.6208473157559684,0.5076910090336915,0.2945865594969173,0.8585368822992296,-0.5538718180119352,1.0,0.0,1.0,0.0,0
74,-0.24069026646284564,0.12263341702503563,0.8251756446505486,-0.8600549239378725,-0.9229144516585223,1.0,0.0,1.0,0.0,0
75,-0.24069026646284564,0.5076910090336915,0.2945865594969173,0.36751065194577187,0.9222987165744131,1.0,0.0,1.0,0.0,0
76,2.8005661278821368,-2.1877121350268993,-1.2971806959639764,-1.8421073846447882,-1.6609997189516963,0.0,1.0,0.0,1.0,1
78,-1.0010043650490912,-0.2624241749836202,-0.23600252565671395,-0.6145418087611437,0.553256082927826,1.0,0.0,1.0,0.0,0
79,-0.6208473157559684,-0.647481766992276,-0.23600252565671395,0.8585368822992296,0.9222987165744131,1.0,0.0,1.0,0.0,0
81,0.5196238321233999,0.8927486010423473,0.2945865594969173,-0.1235155784076859,0.18421344928123892,1.0,0.0,1.0,0.0,0
82,-1.0010043650490912,0.12263341702503563,1.35576472980418,1.3495631126526875,-0.9229144516585223,1.0,0.0,1.0,0.0,0
84,0.13946678283027714,0.5076910090336915,0.8251756446505486,-1.1055680391146014,0.18421344928123892,1.0,0.0,1.0,0.0,0
85,-1.0010043650490912,0.12263341702503563,-0.23600252565671395,-0.6145418087611437,0.18421344928123892,1.0,0.0,1.0,0.0,0
86,-0.6208473157559684,0.8927486010423473,-0.7665916108103452,0.36751065194577187,0.18421344928123892,1.0,0.0,1.0,0.0,0
91,0.13946678283027714,-1.0325393590009317,1.35576472980418,-1.1055680391146014,1.291341350221,1.0,0.0,1.0,0.0,0
94,-0.24069026646284564,-0.2624241749836202,0.8251756446505486,-0.3690286935844148,0.9222987165744131,1.0,0.0,1.0,0.0,0
95,-1.0010043650490912,0.8927486010423473,0.8251756446505486,-0.6145418087611437,-0.18482918436534815,1.0,0.0,1.0,0.0,0
97,0.5196238321233999,-1.0325393590009317,-2.358358866271239,-2.087620499821517,-1.6609997189516963,0.0,1.0,0.0,1.0,1
98,-1.0010043650490912,0.12263341702503563,0.2945865594969173,0.6130237671225007,0.553256082927826,1.0,0.0,1.0,0.0,0
100,-0.6208473157559684,0.12263341702503563,0.2945865594969173,-0.3690286935844148,-0.9229144516585223,1.0,0.0,1.0,0.0,0
101,-0.24069026646284564,1.6628637850596588,0.8251756446505486,0.36751065194577187,0.553256082927826,1.0,0.0,1.0,0.0,0
102,1.2799379307096455,-1.4175969510095876,-2.358358866271239,-1.5965942694680593,-2.0300423525982834,0.0,1.0,0.0,1.0,0
103,-1.0010043650490912,0.12263341702503563,0.8251756446505486,0.6130237671225007,0.18421344928123892,1.0,0.0,1.0,0.0,0
106,-0.24069026646284564,1.6628637850596588,-0.23600252565671395,0.36751065194577187,-0.9229144516585223,1.0,0.0,1.0,0.0,0
108,2.4204090785890138,0.12263341702503563,0.8251756446505486,1.5950762278294164,-0.5538718180119352,1.0,0.0,1.0,0.0,0
109,-0.24069026646284564,0.12263341702503563,0.2945865594969173,-0.6145418087611437,0.18421344928123892,1.0,0.0,1.0,0.0,0
110,-1.0010043650490912,1.2778061930510032,-0.23600252565671395,1.3495631126526875,0.18421344928123892,1.0,0.0,1.0,0.0,0
111,0.13946678283027714,-0.647481766992276,-0.7665916108103452,1.3495631126526875,0.553256082927826,1.0,0.0,1.0,0.0,0
112,0.13946678283027714,-0.2624241749836202,-0.7665916108103452,-0.3690286935844148,1.291341350221,1.0,0.0,1.0,0.0,0
113,-1.0010043650490912,1.6628637850596588,-0.23600252565671395,0.12199753676904299,0.9222987165744131,1.0,0.0,1.0,0.0,0
114,0.8997808814165227,-2.1877121350268993,-0.7665916108103452,-0.8600549239378725,-1.2919570853051094,0.0,1.0,0.0,1.0,1
115,-0.24069026646284564,-0.647481766992276,-0.23600252565671395,0.8585368822992296,-0.5538718180119352,1.0,0.0,1.0,0.0,0
116,-0.6208473157559684,-0.647481766992276,0.2945865594969173,-0.1235155784076859,0.18421344928123892,1.0,0.0,1.0,0.0,0
117,-1.0010043650490912,0.12263341702503563,0.2945865594969173,1.1040499974759586,0.9222987165744131,1.0,0.0,1.0,0.0,0
118,0.13946678283027714,-0.647481766992276,0.8251756446505486,0.8585368822992296,0.553256082927826,1.0,0.0,1.0,0.0,0
122,1.2799379307096455,-1.8026545430182435,-2.358358866271239,-2.087620499821517,-1.6609997189516963,0.0,1.0,0.0,1.0,1
124,0.5196238321233999,0.5076910090336915,0.8251756446505486,0.6130237671225007,-0.9229144516585223,1.0,0.0,1.0,0.0,1
125,-0.6208473157559684,0.12263341702503563,-0.7665916108103452,0.12199753676904299,1.291341350221,1.0,0.0,1.0,0.0,0
126,0.13946678283027714,-0.647481766992276,1.35576472980418,-0.3690286935844148,-0.9229144516585223,1.0,0.0,1.0,0.0,0
127,-0.6208473157559684,1.2778061930510032,-0.23600252565671395,-0.6145418087611437,0.553256082927826,1.0,0.0,1.0,0.0,0
128,-0.6208473157559684,-0.647481766992276,0.8251756446505486,-0.1235155784076859,0.9222987165744131,1.0,0.0,1.0,0.0,0
131,-0.24069026646284564,1.2778061930510032,-0.23600252565671395,1.5950762278294164,0.9222987165744131,1.0,0.0,1.0,0.0,0
134,0.13946678283027714,-0.647481766992276,0.8251756446505486,1.1040499974759586,0.18421344928123892,1.0,0.0,1.0,0.0,0
135,0.13946678283027714,1.2778061930510032,0.8251756446505486,0.6130237671225007,1.291341350221,1.0,0.0,1.0,0.0,0
136,-0.6208473157559684,1.2778061930510032,-0.7665916108103452,0.8585368822992296,1.291341350221,1.0,0.0,1.0,0.0,0
137,-1.0010043650490912,-1.0325393590009317,-0.7665916108103452,-1.1055680391146014,0.9222987165744131,1.0,0.0,1.0,0.0,0
140,0.5196238321233999,0.5076910090336915,0.8251756446505486,0.6130237671225007,0.18421344928123892,1.0,0.0,1.0,0.0,0
141,-0.24069026646284564,0.8927486010423473,0.8251756446505486,0.6130237671225007,0.18421344928123892,1.0,0.0,1.0,0.0,0
142,-0.6208473157559684,0.5076910090336915,-0.23600252565671395,0.8585368822992296,-0.5538718180119352,1.0,0.0,1.0,0.0,0
143,-0.6208473157559684,-1.0325393590009317,0.8251756446505486,0.8585368822992296,1.291341350221,1.0,0.0,1.0,0.0,0
144,0.13946678283027714,-0.647481766992276,-0.23600252565671395,0.12199753676904299,1.291341350221,1.0,0.0,1.0,0.0,0
154,-0.24069026646284564,-0.647481766992276,1.35576472980418,-0.8600549239378725,0.18421344928123892,1.0,0.0,1.0,0.0,0
156,2.8005661278821368,-2.1877121350268993,-2.358358866271239,-1.1055680391146014,-1.2919570853051094,0.0,1.0,0.0,1.0,1
162,-1.0010043650490912,0.5076910090336915,1.35576472980418,1.5950762278294164,-0.9229144516585223,1.0,0.0,1.0,0.0,0
163,0.5196238321233999,-1.4175969510095876,-2.358358866271239,-2.087620499821517,-2.0300423525982834,0.0,1.0,0.0,1.0,1
164,-0.24069026646284564,1.2778061930510032,-0.7665916108103452,1.3495631126526875,-0.9229144516585223,1.0,0.0,1.0,0.0,0
167,0.13946678283027714,0.12263341702503563,-0.23600252565671395,1.1040499974759586,-0.5538718180119352,1.0,0.0,1.0,0.0,0
169,1.6600949800027684,-1.8026545430182435,-1.8277697811176077,-2.087620499821517,-1.6609997189516963,0.0,1.0,0.0,1.0,1
172,-0.24069026646284564,0.8927486010423473,0.8251756446505486,0.6130237671225007,-0.9229144516585223,1.0,0.0,1.0,0.0,0
173,-0.24069026646284564,1.2778061930510032,0.8251756446505486,0.8585368822992296,0.553256082927826,1.0,0.0,1.0,0.0,0
174,0.13946678283027714,1.6628637850596588,-0.7665916108103452,-1.1055680391146014,0.9222987165744131,1.0,0.0,1.0,0.0,0
175,-0.24069026646284564,0.12263341702503563,0.2945865594969173,0.8585368822992296,0.553256082927826,1.0,0.0,1.0,0.0,0
181,-0.6208473157559684,1.2778061930510032,-0.7665916108103452,-0.1235155784076859,-0.5538718180119352,1.0,0.0,1.0,0.0,0
182,3.1807231771752593,-0.647481766992276,-1.8277697811176077,-1.8421073846447882,-2.0300423525982834,0.0,1.0,0.0,1.0,1
184,-0.6208473157559684,0.5076910090336915,-0.23600252565671395,-0.8600549239378725,0.9222987165744131,1.0,0.0,1.0,0.0,0
185,0.13946678283027714,-0.647481766992276,-0.23600252565671395,0.36751065194577187,-0.18482918436534815,1.0,0.0,1.0,0.0,0
187,2.8005661278821368,-1.4175969510095876,-0.7665916108103452,-1.3510811542913304,-1.6609997189516963,0.0,1.0,0.0,1.0,1
188,-1.0010043650490912,0.12263341702503563,-0.23600252565671395,1.5950762278294164,0.9222987165744131,1.0,0.0,1.0,0.0,0
192,-0.24069026646284564,-0.2624241749836202,0.2945865594969173,1.1040499974759586,-0.9229144516585223,1.0,0.0,1.0,0.0,0
194,-0.24069026646284564,1.2778061930510032,0.8251756446505486,-0.3690286935844148,1.291341350221,1.0,0.0,1.0,0.0,0
196,0.13946678283027714,-0.647481766992276,0.2945865594969173,-0.8600549239378725,-0.18482918436534815,1.0,0.0,1.0,0.0,0
197,-0.6208473157559684,-0.647481766992276,0.8251756446505486,0.8585368822992296,-0.18482918436534815,1.0,0.0,1.0,0.0,0
198,-0.24069026646284564,1.2778061930510032,-0.7665916108103452,0.36751065194577187,1.291341350221,1.0,0.0,1.0,0.0,0
202,-0.24069026646284564,-0.2624241749836202,0.2945865594969173,1.1040499974759586,1.291341350221,1.0,0.0,1.0,0.0,0
203,-0.6208473157559684,-1.0325393590009317,1.35576472980418,0.36751065194577187,0.9222987165744131,1.0,0.0,1.0,0.0,0
206,-0.6208473157559684,0.8927486010423473,-0.7665916108103452,0.36751065194577187,1.291341350221,1.0,0.0,1.0,0.0,0
210,1.2799379307096455,-2.1877121350268993,-1.2971806959639764,-2.087620499821517,-1.6609997189516963,0.0,1.0,0.0,1.0,1
222,-1.0010043650490912,1.6628637850596588,-0.23600252565671395,0.6130237671225007,-0.5538718180119352,1.0,0.0,1.0,0.0,0
223,0.13946678283027714,-0.2624241749836202,-0.23600252565671395,-0.1235155784076859,0.18421344928123892,1.0,0.0,1.0,0.0,0
224,0.13946678283027714,0.8927486010423473,0.8251756446505486,1.1040499974759586,-0.18482918436534815,1.0,0.0,1.0,0.0,0
225,-0.24069026646284564,-0.2624241749836202,-0.23600252565671395,-0.3690286935844148,0.18421344928123892,1.0,0.0,1.0,0.0,0
226,0.5196238321233999,0.5076910090336915,-0.23600252565671395,-0.6145418087611437,0.553256082927826,1.0,0.0,1.0,0.0,0
227,0.13946678283027714,1.2778061930510032,1.35576472980418,0.12199753676904299,-0.5538718180119352,1.0,0.0,1.0,0.0,0
228,-0.6208473157559684,0.8927486010423473,-0.23600252565671395,0.36751065194577187,-0.9229144516585223,1.0,0.0,1.0,0.0,0
232,3.1807231771752593,-1.8026545430182435,-2.358358866271239,-1.1055680391146014,-1.2919570853051094,0.0,1.0,0.0,1.0,1
233,-0.24069026646284564,0.8927486010423473,-0.23600252565671395,-0.8600549239378725,1.291341350221,1.0,0.0,1.0,0.0,0
235,-0.24069026646284564,-0.647481766992276,-0.7665916108103452,-0.8600549239378725,1.6603839838675871,1.0,0.0,1.0,0.0,0
237,-1.0010043650490912,-0.647481766992276,0.8251756446505486,0.12199753676904299,0.18421344928123892,1.0,0.0,1.0,0.0,0
239,3.1807231771752593,-1.0325393590009317,-1.8277697811176077,-1.1055680391146014,-0.9229144516585223,0.0,1.0,0.0,1.0,1
241,-0.24069026646284564,-1.8026545430182435,-1.2971806959639764,-1.5965942694680593,-1.6609997189516963,0.0,1.0,0.0,1.0,1
243,0.13946678283027714,0.12263341702503563,1.35576472980418,0.36751065194577187,0.18421344928123892,1.0,0.0,1.0,0.0,0
244,0.5196238321233999,-0.647481766992276,0.2945865594969173,0.12199753676904299,-0.5538718180119352,1.0,0.0,1.0,0.0,0
245,2.8005661278821368,-1.0325393590009317,0.2945865594969173,-0.8600549239378725,-0.5538718180119352,1.0,0.0,1.0,0.0,1
246,0.13946678283027714,-0.2624241749836202,-0.23600252565671395,1.5950762278294164,0.18421344928123892,1.0,0.0,1.0,0.0,0
248,1.6600949800027684,-0.647481766992276,-0.23600252565671395,-0.3690286935844148,0.553256082927826,1.0,0.0,1.0,0.0,0
250,-0.6208473157559684,1.2778061930510032,-0.23600252565671395,0.8585368822992296,0.18421344928123892,1.0,0.0,1.0,0.0,0
251,-0.6208473157559684,0.5076910090336915,0.8251756446505486,-0.8600549239378725,-0.9229144516585223,1.0,0.0,1.0,0.0,0
253,-0.6208473157559684,1.6628637850596588,-0.7665916108103452,1.3495631126526875,0.9222987165744131,1.0,0.0,1.0,0.0,0
255,-0.6208473157559684,0.8927486010423473,-0.7665916108103452,-0.8600549239378725,0.553256082927826,1.0,0.0,1.0,0.0,0
256,-1.0010043650490912,1.2778061930510032,-0.23600252565671395,1.1040499974759586,0.18421344928123892,1.0,0.0,1.0,0.0,0
258,-0.24069026646284564,0.12263341702503563,0.8251756446505486,1.1040499974759586,-0.18482918436534815,1.0,0.0,1.0,0.0,0
259,2.8005661278821368,-1.4175969510095876,-1.8277697811176077,-1.8421073846447882,-0.9229144516585223,0.0,1.0,0.0,1.0,1
261,0.13946678283027714,0.12263341702503563,-0.23600252565671395,0.12199753676904299,0.9222987165744131,1.0,0.0,1.0,0.0,0
264,-0.24069026646284564,1.2778061930510032,0.8251756446505486,-1.1055680391146014,-0.9229144516585223,1.0,0.0,1.0,0.0,0
265,2.8005661278821368,-2.1877121350268993,-1.2971806959639764,-2.087620499821517,-0.9229144516585223,0.0,1.0,0.0,1.0,1
266,-0.24069026646284564,0.8927486010423473,-0.7665916108103452,1.3495631126526875,0.553256082927826,1.0,0.0,1.0,0.0,0
267,2.0402520292958912,-1.0325393590009317,-0.7665916108103452,-1.3510811542913304,-1.2919570853051094,0.0,1.0,0.0,1.0,1
270,-1.0010043650490912,0.5076910090336915,1.35576472980418,0.36751065194577187,0.553256082927826,1.0,0.0,1.0,0.0,0
272,0.5196238321233999,-0.2624241749836202,-0.7665916108103452,0.8585368822992296,-0.9229144516585223,1.0,0.0,1.0,0.0,1
273,-0.6208473157559684,-0.2624241749836202,-0.7665916108103452,-1.1055680391146014,0.553256082927826,1.0,0.0,1.0,0.0,0
274,0.13946678283027714,-0.2624241749836202,0.8251756446505486,-0.3690286935844148,1.291341350221,1.0,0.0,1.0,0.0,0
275,0.13946678283027714,0.12263341702503563,1.35576472980418,-0.6145418087611437,0.553256082927826,1.0,0.0,1.0,0.0,0
278,0.13946678283027714,0.8927486010423473,-0.7665916108103452,1.3495631126526875,0.18421344928123892,1.0,0.0,1.0,0.0,0
279,2.0402520292958912,-0.647481766992276,-1.8277697811176077,-1.3510811542913304,-2.0300423525982834,0.0,1.0,0.0,1.0,1
280,0.13946678283027714,1.2778061930510032,1.35576472980418,1.3495631126526875,-0.9229144516585223,1.0,0.0,1.0,0.0,0
281,-0.24069026646284564,0.12263341702503563,0.2945865594969173,0.12199753676904299,-0.9229144516585223,1.0,0.0,1.0,0.0,0
286,-0.6208473157559684,0.5076910090336915,0.2945865594969173,-0.1235155784076859,0.18421344928123892,1.0,0.0,1.0,0.0,0
287,0.13946678283027714,0.12263341702503563,1.35576472980418,0.6130237671225007,-0.9229144516585223,1.0,0.0,1.0,0.0,0
290,-0.6208473157559684,-0.2624241749836202,0.8251756446505486,-0.6145418087611437,-0.5538718180119352,1.0,0.0,1.0,0.0,0
291,-1.0010043650490912,-0.2624241749836202,-0.23600252565671395,-0.6145418087611437,-0.5538718180119352,1.0,0.0,1.0,0.0,0
292,-1.0010043650490912,0.12263341702503563,0.8251756446505486,0.8585368822992296,-0.9229144516585223,1.0,0.0,1.0,0.0,0
295,2.8005661278821368,-1.8026545430182435,-0.7665916108103452,-1.1055680391146014,-0.9229144516585223,0.0,1.0,0.0,1.0,1
296,0.13946678283027714,-0.2624241749836202,1.35576472980418,1.3495631126526875,-0.9229144516585223,1.0,0.0,1.0,0.0,0
297,-0.6208473157559684,-1.0325393590009317,0.8251756446505486,0.36751065194577187,-0.18482918436534815,1.0,0.0,1.0,0.0,0
298,0.5196238321233999,0.8927486010423473,-0.7665916108103452,0.8585368822992296,-0.18482918436534815,1.0,0.0,1.0,0.0,0
299,-0.24069026646284564,1.2778061930510032,0.8251756446505486,1.1040499974759586,1.6603839838675871,1.0,0.0,1.0,0.0,0
300,-0.24069026646284564,-0.647481766992276,0.8251756446505486,0.12199753676904299,0.553256082927826,1.0,0.0,1.0,0.0,0
301,0.13946678283027714,0.5076910090336915,1.35576472980418,1.3495631126526875,1.6603839838675871,1.0,0.0,1.0,0.0,0
303,-0.24069026646284564,0.8927486010423473,0.2945865594969173,1.5950762278294164,1.291341350221,1.0,0.0,1.0,0.0,0
304,0.8997808814165227,-1.4175969510095876,-1.8277697811176077,-1.5965942694680593,-1.6609997189516963,0.0,1.0,0.0,1.0,1
305,-0.6208473157559684,-0.647481766992276,-0.23600252565671395,0.8585368822992296,-0.18482918436534815,1.0,0.0,1.0,0.0,0
308,-0.6208473157559684,-0.2624241749836202,-0.7665916108103452,0.36751065194577187,0.18421344928123892,1.0,0.0,1.0,0.0,0
309,3.1807231771752593,-1.4175969510095876,-1.2971806959639764,-2.087620499821517,-2.0300423525982834,0.0,1.0,0.0,1.0,1
310,-0.6208473157559684,-0.2624241749836202,0.2945865594969173,1.1040499974759586,0.9222987165744131,1.0,0.0,1.0,0.0,0
311,-1.0010043650490912,-0.647481766992276,-0.7665916108103452,0.12199753676904299,-0.9229144516585223,1.0,0.0,1.0,0.0,0
314,0.13946678283027714,1.6628637850596588,1.35576472980418,1.1040499974759586,0.553256082927826,1.0,0.0,1.0,0.0,0
315,-0.24069026646284564,0.12263341702503563,-0.7665916108103452,0.36751065194577187,-0.5538718180119352,1.0,0.0,1.0,0.0,0
317,1.2799379307096455,-2.1877121350268993,-0.7665916108103452,-1.3510811542913304,-1.2919570853051094,0.0,1.0,0.0,1.0,1
318,-1.0010043650490912,-0.2624241749836202,1.35576472980418,1.1040499974759586,0.553256082927826,1.0,0.0,1.0,0.0,0
324,-1.0010043650490912,0.12263341702503563,1.35576472980418,-1.1055680391146014,0.9222987165744131,1.0,0.0,1.0,0.0,0
325,-0.24069026646284564,1.2778061930510032,0.8251756446505486,1.3495631126526875,1.291341350221,1.0,0.0,1.0,0.0,0
326,0.13946678283027714,-1.0325393590009317,-0.7665916108103452,-0.6145418087611437,-0.18482918436534815,1.0,0.0,1.0,0.0,0
327,-1.0010043650490912,-0.647481766992276,0.8251756446505486,0.8585368822992296,0.9222987165744131,1.0,0.0,1.0,0.0,0
331,-0.24069026646284564,0.5076910090336915,-0.7665916108103452,-0.1235155784076859,0.9222987165744131,1.0,0.0,1.0,0.0,0
332,-0.24069026646284564,-0.647481766992276,-0.7665916108103452,-0.1235155784076859,1.291341350221,1.0,0.0,1.0,0.0,0
333,-1.0010043650490912,0.12263341702503563,-0.7665916108103452,0.6130237671225007,0.553256082927826,1.0,0.0,1.0,0.0,0
334,0.13946678283027714,-0.2624241749836202,0.2945865594969173,-0.3690286935844148,0.553256082927826,1.0,0.0,1.0,0.0,0
336,-0.24069026646284564,-0.2624241749836202,0.8251756446505486,0.12199753676904299,0.9222987165744131,1.0,0.0,1.0,0.0,0
337,-1.0010043650490912,1.2778061930510032,1.35576472980418,0.12199753676904299,0.553256082927826,1.0,0.0,1.0,0.0,0
339,-0.6208473157559684,-0.2624241749836202,0.8251756446505486,-1.1055680391146014,-0.18482918436534815,1.0,0.0,1.0,0.0,0
340,-1.0010043650490912,0.8927486010423473,-0.23600252565671395,0.12199753676904299,-0.18482918436534815,1.0,0.0,1.0,0.0,0
341,-0.24069026646284564,1.2778061930510032,-0.7665916108103452,-0.8600549239378725,0.553256082927826,1.0,0.0,1.0,0.0,0
342,-0.6208473157559684,1.2778061930510032,-0.23600252565671395,-0.8600549239378725,-0.9229144516585223,1.0,0.0,1.0,0.0,0
345,-1.0010043650490912,-0.2624241749836202,1.35576472980418,1.3495631126526875,0.553256082927826,1.0,0.0,1.0,0.0,0
348,-0.6208473157559684,0.12263341702503563,0.8251756446505486,1.3495631126526875,1.291341350221,1.0,0.0,1.0,0.0,0
351,-1.0010043650490912,0.8927486010423473,0.2945865594969173,1.3495631126526875,1.6603839838675871,1.0,0.0,1.0,0.0,0
352,0.5196238321233999,1.6628637850596588,-0.23600252565671395,-0.3690286935844148,0.553256082927826,1.0,0.0,1.0,0.0,0
353,0.13946678283027714,0.12263341702503563,1.35576472980418,0.12199753676904299,-0.5538718180119352,1.0,0.0,1.0,0.0,0
356,-0.24069026646284564,0.5076910090336915,-0.7665916108103452,1.5950762278294164,0.553256082927826,1.0,0.0,1.0,0.0,0
357,0.5196238321233999,-0.2624241749836202,0.2945865594969173,1.1040499974759586,0.9222987165744131,1.0,0.0,1.0,0.0,0
360,0.5196238321233999,-1.0325393590009317,-1.2971806959639764,-1.5965942694680593,-0.9229144516585223,0.0,1.0,0.0,1.0,1
361,-0.24069026646284564,0.12263341702503563,0.2945865594969173,-1.3510811542913304,1.291341350221,1.0,0.0,1.0,0.0,0
362,-0.24069026646284564,-0.647481766992276,-0.7665916108103452,-1.1055680391146014,-0.9229144516585223,1.0,0.0,1.0,0.0,0
364,-1.0010043650490912,0.5076910090336915,1.35576472980418,-1.1055680391146014,-0.9229144516585223,1.0,0.0,1.0,0.0,0
365,-0.24069026646284564,0.8927486010423473,0.2945865594969173,1.1040499974759586,-0.9229144516585223,1.0,0.0,1.0,0.0,0
371,-0.6208473157559684,-1.0325393590009317,0.2945865594969173,-0.6145418087611437,0.18421344928123892,1.0,0.0,1.0,0.0,0
372,0.5196238321233999,-1.0325393590009317,-0.7665916108103452,-1.1055680391146014,-0.9229144516585223,0.0,1.0,0.0,1.0,1
376,-0.24069026646284564,-1.0325393590009317,-0.23600252565671395,-0.6145418087611437,0.553256082927826,1.0,0.0,1.0,0.0,0
378,-1.0010043650490912,-0.2624241749836202,-0.23600252565671395,0.36751065194577187,-0.18482918436534815,1.0,0.0,1.0,0.0,0
379,-0.24069026646284564,1.2778061930510032,-0.23600252565671395,0.36751065194577187,1.291341350221,1.0,0.0,1.0,0.0,0
382,-1.0010043650490912,1.2778061930510032,1.35576472980418,-0.3690286935844148,-0.18482918436534815,1.0,0.0,1.0,0.0,0
